time_bucket,delay_total,late_5_min,early_5_min,count
2025-03-17 11:00:00-07:00,358,52,29,541
2025-03-17 11:20:00-07:00,591,75,35,591
2025-03-17 11:40:00-07:00,572,71,39,581
2025-03-17 12:00:00-07:00,631,82,34,588
2025-03-17 12:20:00-07:00,514,62,20,558
2025-03-17 12:40:00-07:00,536,67,25,566
2025-03-17 13:00:00-07:00,552,65,21,560
2025-03-17 13:20:00-07:00,395,52,25,556
2025-03-17 13:40:00-07:00,389,43,29,562
2025-03-17 14:00:00-07:00,248,45,30,568
2025-03-17 14:20:00-07:00,279,46,25,566
2025-03-17 14:40:00-07:00,101,32,32,561
2025-03-17 15:00:00-07:00,289,41,29,568
2025-03-17 15:20:00-07:00,486,61,29,578
2025-03-17 15:40:00-07:00,651,69,22,585
2025-03-17 16:00:00-07:00,816,82,22,613
2025-03-17 16:20:00-07:00,1082,104,19,618
2025-03-17 16:40:00-07:00,1358,108,18,610
2025-03-17 17:00:00-07:00,1025,108,26,589
2025-03-17 17:20:00-07:00,1052,117,29,588
2025-03-17 17:40:00-07:00,1291,121,24,583
2025-03-17 18:00:00-07:00,1309,113,34,561
2025-03-17 18:20:00-07:00,1034,99,42,553
2025-03-17 18:40:00-07:00,779,82,49,513
2025-03-17 19:00:00-07:00,790,75,44,473
2025-03-17 19:20:00-07:00,725,73,42,453
2025-03-17 19:40:00-07:00,722,57,27,422
2025-03-17 20:00:00-07:00,764,57,23,409
2025-03-17 20:20:00-07:00,544,50,27,382
2025-03-17 20:40:00-07:00,618,46,19,375
2025-03-17 21:00:00-07:00,530,54,17,357
2025-03-17 21:20:00-07:00,514,51,20,337
2025-03-17 21:40:00-07:00,466,49,20,325
2025-03-17 22:00:00-07:00,419,42,13,289
2025-03-17 22:20:00-07:00,543,44,16,238
2025-03-17 22:40:00-07:00,613,45,11,197
2025-03-17 23:00:00-07:00,403,30,9,171
2025-03-17 23:20:00-07:00,327,25,7,166
2025-03-17 23:40:00-07:00,317,34,4,166
2025-03-18 00:00:00-07:00,262,25,8,164
2025-03-18 00:20:00-07:00,149,21,6,119
2025-03-18 00:40:00-07:00,316,24,8,84
2025-03-18 01:00:00-07:00,244,17,1,61
2025-03-18 01:20:00-07:00,154,13,0,52
2025-03-18 01:40:00-07:00,171,16,0,51
2025-03-18 02:00:00-07:00,129,11,0,52
2025-03-18 02:20:00-07:00,92,6,0,51
2025-03-18 02:40:00-07:00,71,7,2,51
2025-03-18 03:00:00-07:00,70,10,2,49
2025-03-18 03:20:00-07:00,40,6,0,49
2025-03-18 03:40:00-07:00,43,5,3,53
2025-03-18 04:00:00-07:00,17,3,2,52
2025-03-18 04:20:00-07:00,7,6,5,69
2025-03-18 04:40:00-07:00,-102,7,17,101
2025-03-18 05:00:00-07:00,-134,10,18,189
2025-03-18 05:20:00-07:00,-20,21,14,237
2025-03-18 05:40:00-07:00,-29,25,29,274
2025-03-18 06:00:00-07:00,13,25,26,319
2025-03-18 06:20:00-07:00,107,31,22,367
2025-03-18 06:40:00-07:00,247,31,15,411
2025-03-18 07:00:00-07:00,176,33,17,458
2025-03-18 07:20:00-07:00,153,38,22,503
2025-03-18 07:40:00-07:00,417,45,20,538
2025-03-18 08:00:00-07:00,657,61,18,550
2025-03-18 08:20:00-07:00,1064,95,8,560
2025-03-18 08:40:00-07:00,1264,125,12,589
2025-03-18 09:00:00-07:00,1209,117,16,593
2025-03-18 09:20:00-07:00,973,105,16,579
2025-03-18 09:40:00-07:00,1014,99,19,568
2025-03-18 10:00:00-07:00,920,89,16,561
2025-03-18 10:20:00-07:00,823,88,26,557
2025-03-18 10:40:00-07:00,626,69,22,553
2025-03-18 11:00:00-07:00,6,1,0,1
