time_bucket,delay_total,late_5_min,early_5_min,count
2023-12-29 20:00:00-08:00,288,36,25,383
2023-12-29 20:20:00-08:00,419,42,27,377
2023-12-29 20:40:00-08:00,707,52,23,368
2023-12-29 21:00:00-08:00,471,49,19,349
2023-12-29 21:20:00-08:00,266,34,16,315
2023-12-29 21:40:00-08:00,313,30,18,290
2023-12-29 22:00:00-08:00,438,41,16,264
2023-12-29 22:20:00-08:00,619,52,9,228
2023-12-29 22:40:00-08:00,649,50,6,196
2023-12-29 23:00:00-08:00,628,44,6,174
2023-12-29 23:20:00-08:00,343,28,4,159
2023-12-29 23:40:00-08:00,269,26,3,151
2023-12-30 00:00:00-08:00,172,17,4,147
2023-12-30 00:20:00-08:00,136,19,6,122
2023-12-30 00:40:00-08:00,252,21,3,85
2023-12-30 01:00:00-08:00,294,18,0,60
2023-12-30 01:20:00-08:00,244,18,0,57
2023-12-30 01:40:00-08:00,202,16,1,54
2023-12-30 02:00:00-08:00,182,10,0,48
2023-12-30 02:20:00-08:00,198,14,0,54
2023-12-30 02:40:00-08:00,247,16,1,52
2023-12-30 03:00:00-08:00,270,15,0,46
2023-12-30 03:20:00-08:00,305,15,0,55
2023-12-30 03:40:00-08:00,276,13,0,53
2023-12-30 04:00:00-08:00,151,11,0,47
2023-12-30 04:20:00-08:00,112,10,0,57
2023-12-30 04:40:00-08:00,124,10,1,82
2023-12-30 05:00:00-08:00,195,17,1,150
2023-12-30 05:20:00-08:00,169,14,7,186
2023-12-30 05:40:00-08:00,195,18,7,200
2023-12-30 06:00:00-08:00,156,16,13,229
2023-12-30 06:20:00-08:00,209,20,8,256
2023-12-30 06:40:00-08:00,238,19,10,269
2023-12-30 07:00:00-08:00,339,30,9,304
2023-12-30 07:20:00-08:00,262,29,11,322
2023-12-30 07:40:00-08:00,216,28,17,340
2023-12-30 08:00:00-08:00,330,25,18,355
2023-12-30 08:20:00-08:00,365,28,17,382
2023-12-30 08:40:00-08:00,117,23,20,389
2023-12-30 09:00:00-08:00,170,30,29,409
2023-12-30 09:20:00-08:00,184,32,23,414
2023-12-30 09:40:00-08:00,124,21,31,419
2023-12-30 10:00:00-08:00,107,26,26,427
2023-12-30 10:20:00-08:00,139,33,31,423
2023-12-30 10:40:00-08:00,291,37,20,434
2023-12-30 11:00:00-08:00,268,49,21,446
2023-12-30 11:20:00-08:00,435,41,19,447
2023-12-30 11:40:00-08:00,567,40,15,446
2023-12-30 12:00:00-08:00,383,43,22,454
2023-12-30 12:20:00-08:00,476,49,13,461
2023-12-30 12:40:00-08:00,538,55,14,455
2023-12-30 13:00:00-08:00,625,62,13,457
2023-12-30 13:20:00-08:00,645,55,5,459
2023-12-30 13:40:00-08:00,545,52,19,457
2023-12-30 14:00:00-08:00,610,58,16,457
2023-12-30 14:20:00-08:00,618,54,9,465
2023-12-30 14:40:00-08:00,737,62,13,457
2023-12-30 15:00:00-08:00,720,70,16,459
2023-12-30 15:20:00-08:00,762,66,11,469
2023-12-30 15:40:00-08:00,820,63,14,465
2023-12-30 16:00:00-08:00,724,65,13,457
2023-12-30 16:20:00-08:00,789,60,10,465
2023-12-30 16:40:00-08:00,607,59,12,464
2023-12-30 17:00:00-08:00,707,58,14,458
2023-12-30 17:20:00-08:00,615,55,19,458
2023-12-30 17:40:00-08:00,726,57,13,446
2023-12-30 18:00:00-08:00,628,49,16,448
2023-12-30 18:20:00-08:00,402,49,21,434
2023-12-30 18:40:00-08:00,504,58,17,415
2023-12-30 19:00:00-08:00,401,42,18,403
2023-12-30 19:20:00-08:00,166,30,25,381
2023-12-30 19:40:00-08:00,225,24,19,353
2023-12-30 20:00:00-08:00,49,14,10,154
