time_bucket,delay_total,late_5_min,early_5_min,count
2023-11-20 04:00:00-08:00,0,0,0,3
2023-11-20 04:20:00-08:00,-13,0,0,16
2023-11-20 04:40:00-08:00,-22,0,2,49
2023-11-20 05:00:00-08:00,40,4,1,131
2023-11-20 05:20:00-08:00,-68,3,4,193
2023-11-20 05:40:00-08:00,-88,9,14,236
2023-11-20 06:00:00-08:00,1,6,6,291
2023-11-20 06:20:00-08:00,83,14,8,335
2023-11-20 06:40:00-08:00,183,21,6,389
2023-11-20 07:00:00-08:00,224,26,14,441
2023-11-20 07:20:00-08:00,89,29,20,486
2023-11-20 07:40:00-08:00,148,36,27,517
2023-11-20 08:00:00-08:00,37,33,41,540
2023-11-20 08:20:00-08:00,-14,23,38,538
2023-11-20 08:40:00-08:00,-82,30,43,555
2023-11-20 09:00:00-08:00,-84,34,41,563
2023-11-20 09:20:00-08:00,60,43,47,566
2023-11-20 09:40:00-08:00,115,31,33,546
2023-11-20 10:00:00-08:00,268,42,33,560
2023-11-20 10:20:00-08:00,391,59,31,558
2023-11-20 10:40:00-08:00,631,58,20,570
2023-11-20 11:00:00-08:00,534,59,25,578
2023-11-20 11:20:00-08:00,318,46,21,571
2023-11-20 11:40:00-08:00,402,47,17,562
2023-11-20 12:00:00-08:00,539,58,16,567
2023-11-20 12:20:00-08:00,614,66,15,566
2023-11-20 12:40:00-08:00,569,60,10,576
2023-11-20 13:00:00-08:00,522,58,18,574
2023-11-20 13:20:00-08:00,483,55,22,570
2023-11-20 13:40:00-08:00,558,56,13,568
2023-11-20 14:00:00-08:00,492,60,30,574
2023-11-20 14:20:00-08:00,453,60,19,557
2023-11-20 14:40:00-08:00,442,58,19,555
2023-11-20 15:00:00-08:00,525,54,15,582
2023-11-20 15:20:00-08:00,473,53,20,574
2023-11-20 15:40:00-08:00,662,66,21,577
2023-11-20 16:00:00-08:00,753,72,22,584
2023-11-20 16:20:00-08:00,698,76,25,573
2023-11-20 16:40:00-08:00,700,74,22,579
2023-11-20 17:00:00-08:00,574,70,29,581
2023-11-20 17:20:00-08:00,943,87,25,579
2023-11-20 17:40:00-08:00,928,89,29,575
2023-11-20 18:00:00-08:00,792,100,32,564
2023-11-20 18:20:00-08:00,637,86,48,549
2023-11-20 18:40:00-08:00,350,58,56,515
2023-11-20 19:00:00-08:00,36,44,48,475
2023-11-20 19:20:00-08:00,181,42,40,439
2023-11-20 19:40:00-08:00,128,35,28,406
2023-11-20 20:00:00-08:00,-71,34,49,549
2023-11-20 20:20:00-08:00,640,68,25,429
2023-11-20 20:40:00-08:00,446,50,17,387
2023-11-20 21:00:00-08:00,325,42,21,361
2023-11-20 21:20:00-08:00,288,39,22,325
2023-11-20 21:40:00-08:00,248,39,18,298
2023-11-20 22:00:00-08:00,254,35,11,276
2023-11-20 22:20:00-08:00,244,27,10,232
2023-11-20 22:40:00-08:00,384,29,8,188
2023-11-20 23:00:00-08:00,310,21,5,163
2023-11-20 23:20:00-08:00,157,13,7,152
2023-11-20 23:40:00-08:00,199,23,8,154
2023-11-21 00:00:00-08:00,111,23,8,149
2023-11-21 00:20:00-08:00,87,17,10,117
2023-11-21 00:40:00-08:00,85,10,5,82
2023-11-21 01:00:00-08:00,72,7,0,54
2023-11-21 01:20:00-08:00,111,11,0,54
2023-11-21 01:40:00-08:00,101,7,0,50
2023-11-21 02:00:00-08:00,98,9,0,49
2023-11-21 02:20:00-08:00,100,10,1,53
2023-11-21 02:40:00-08:00,74,9,0,49
2023-11-21 03:00:00-08:00,58,5,0,48
2023-11-21 03:20:00-08:00,62,6,0,49
2023-11-21 03:40:00-08:00,29,4,1,48
2023-11-21 04:00:00-08:00,30,4,2,51
2023-11-21 04:20:00-08:00,61,9,3,66
2023-11-21 04:40:00-08:00,45,5,1,101
2023-11-21 05:00:00-08:00,48,9,2,175
2023-11-21 05:20:00-08:00,21,14,9,231
2023-11-21 05:40:00-08:00,45,13,10,254
2023-11-21 06:00:00-08:00,155,22,6,303
2023-11-21 06:20:00-08:00,248,26,5,341
2023-11-21 06:40:00-08:00,280,25,7,393
2023-11-21 07:00:00-08:00,155,24,16,445
2023-11-21 07:20:00-08:00,64,17,19,484
2023-11-21 07:40:00-08:00,118,30,25,515
2023-11-21 08:00:00-08:00,102,36,31,544
2023-11-21 08:20:00-08:00,47,28,32,533
2023-11-21 08:40:00-08:00,102,26,38,560
2023-11-21 09:00:00-08:00,5,29,34,561
2023-11-21 09:20:00-08:00,-34,28,48,560
2023-11-21 09:40:00-08:00,98,33,29,558
2023-11-21 10:00:00-08:00,282,35,24,567
2023-11-21 10:20:00-08:00,347,41,21,555
2023-11-21 10:40:00-08:00,315,58,25,559
2023-11-21 11:00:00-08:00,319,45,21,561
2023-11-21 11:20:00-08:00,424,47,17,568
2023-11-21 11:40:00-08:00,440,44,22,556
2023-11-21 12:00:00-08:00,524,59,22,560
2023-11-21 12:20:00-08:00,618,56,17,558
2023-11-21 12:40:00-08:00,740,75,10,568
2023-11-21 13:00:00-08:00,537,69,22,565
2023-11-21 13:20:00-08:00,542,61,20,566
2023-11-21 13:40:00-08:00,577,60,18,570
2023-11-21 14:00:00-08:00,461,58,20,570
2023-11-21 14:20:00-08:00,451,56,16,563
2023-11-21 14:40:00-08:00,566,65,19,575
2023-11-21 15:00:00-08:00,564,56,22,565
2023-11-21 15:20:00-08:00,706,70,14,575
2023-11-21 15:40:00-08:00,855,89,14,581
2023-11-21 16:00:00-08:00,899,95,13,593
2023-11-21 16:20:00-08:00,755,82,21,590
2023-11-21 16:40:00-08:00,599,79,20,598
2023-11-21 17:00:00-08:00,666,74,26,594
2023-11-21 17:20:00-08:00,664,75,25,582
2023-11-21 17:40:00-08:00,728,77,21,572
2023-11-21 18:00:00-08:00,842,73,23,559
2023-11-21 18:20:00-08:00,551,70,31,539
2023-11-21 18:40:00-08:00,354,63,49,523
2023-11-21 19:00:00-08:00,179,50,49,486
2023-11-21 19:20:00-08:00,161,44,43,443
2023-11-21 19:40:00-08:00,167,34,30,410
2023-11-21 20:00:00-08:00,5,41,37,570
2023-11-21 20:20:00-08:00,503,60,24,418
2023-11-21 20:40:00-08:00,627,60,18,393
2023-11-21 21:00:00-08:00,403,51,24,362
2023-11-21 21:20:00-08:00,258,43,25,329
2023-11-21 21:40:00-08:00,183,28,14,295
