time_bucket,delay_total,late_5_min,early_5_min,count,holiday,weekday,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco
2023-11-20 04:00:00-08:00,0,0,0,3,0,0,15.0,3.5,46.0,0.0,20.0,27.7,1023.5,1.0
2023-11-20 04:20:00-08:00,-13,0,0,16,0,0,15.0,3.5,46.0,0.0,20.0,27.7,1023.5,1.0
2023-11-20 04:40:00-08:00,-22,0,2,49,0,0,15.0,3.5,46.0,0.0,20.0,27.7,1023.5,1.0
2023-11-20 05:00:00-08:00,40,4,1,131,0,0,12.2,4.4,59.0,0.0,140.0,9.4,1023.2,1.0
2023-11-20 05:20:00-08:00,-68,3,4,193,0,0,12.2,4.4,59.0,0.0,140.0,9.4,1023.2,1.0
2023-11-20 05:40:00-08:00,-88,9,14,236,0,0,12.2,4.4,59.0,0.0,140.0,9.4,1023.2,1.0
2023-11-20 06:00:00-08:00,1,6,6,291,0,0,11.7,1.6,50.0,0.0,180.0,16.6,1023.7,1.0
2023-11-20 06:20:00-08:00,83,14,8,335,0,0,11.7,1.6,50.0,0.0,180.0,16.6,1023.7,1.0
2023-11-20 06:40:00-08:00,183,21,6,389,0,0,11.7,1.6,50.0,0.0,180.0,16.6,1023.7,1.0
2023-11-20 07:00:00-08:00,224,26,14,441,0,0,11.7,1.6,50.0,0.0,180.0,16.6,1023.7,1.0
2023-11-20 07:20:00-08:00,89,29,20,486,0,0,11.7,1.6,50.0,0.0,180.0,16.6,1023.7,1.0
2023-11-20 07:40:00-08:00,148,36,27,517,0,0,11.7,1.6,50.0,0.0,180.0,16.6,1023.7,1.0
2023-11-20 08:00:00-08:00,37,33,41,540,0,0,13.9,1.2,42.0,0.0,150.0,14.8,1024.4,1.0
2023-11-20 08:20:00-08:00,-14,23,38,538,0,0,13.9,1.2,42.0,0.0,150.0,14.8,1024.4,1.0
2023-11-20 08:40:00-08:00,-82,30,43,555,0,0,13.9,1.2,42.0,0.0,150.0,14.8,1024.4,1.0
2023-11-20 09:00:00-08:00,-84,34,41,563,0,0,13.9,1.2,42.0,0.0,150.0,14.8,1024.4,2.0
2023-11-20 09:20:00-08:00,60,43,47,566,0,0,13.9,1.2,42.0,0.0,150.0,14.8,1024.4,2.0
2023-11-20 09:40:00-08:00,115,31,33,546,0,0,13.9,1.2,42.0,0.0,150.0,14.8,1024.4,2.0
2023-11-20 10:00:00-08:00,268,42,33,560,0,0,16.7,2.7,39.0,0.0,90.0,9.4,1024.1,2.0
2023-11-20 10:20:00-08:00,391,59,31,558,0,0,16.7,2.7,39.0,0.0,90.0,9.4,1024.1,2.0
2023-11-20 10:40:00-08:00,631,58,20,570,0,0,16.7,2.7,39.0,0.0,90.0,9.4,1024.1,2.0
2023-11-20 11:00:00-08:00,534,59,25,578,0,0,17.2,2.4,37.0,0.0,0.0,0.0,1023.6,2.0
2023-11-20 11:20:00-08:00,318,46,21,571,0,0,17.2,2.4,37.0,0.0,0.0,0.0,1023.6,2.0
2023-11-20 11:40:00-08:00,402,47,17,562,0,0,17.2,2.4,37.0,0.0,0.0,0.0,1023.6,2.0
2023-11-20 12:00:00-08:00,539,58,16,567,0,0,17.2,2.4,37.0,0.0,0.0,0.0,1023.6,2.0
2023-11-20 12:20:00-08:00,614,66,15,566,0,0,17.2,2.4,37.0,0.0,0.0,0.0,1023.6,2.0
2023-11-20 12:40:00-08:00,569,60,10,576,0,0,17.2,2.4,37.0,0.0,0.0,0.0,1023.6,2.0
